name,origin_name_,sponsor_name_,sector_name_,period_name_,reference_period_name_,unit_of_enumeration_name_,organization_name_,administrative_data,legal_authority,observations,industry_name_,naics_coverage,documentation_url,short_description,long_description,limitations,fti,id,id_18
Characteristics of Business Owners-Firms and Owners Extract,Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Quinquenially (every five years),Calendar Year,Other (any unit),Bureau of the Census,n,"T13, USC",,Combination (industries),,,,CBOE is a combination of cbo-firms and cbo-owners datasets with FTI removed from the datasets.,All FTI data have been removed from the original cbo-owners and cbo-firms datasets.,y,186,186
Exporter Database,Multiple or Other,Bureau of the Census,Multiple,Annually,Calendar Year,Other (any unit),Bureau of the Census,n,"Title 13 contains the authorizations to conduct Census Bureau data collection programs. For example, the foreign trade data collection by section 301.",,Combination (industries),,http://www.census.gov/foreign-trade/aip/index.html#profile,"
The data, provided in A Profile of U.S. Exporting Companies (Exporter 
Profile), are compiled by the Foreign Trade Division of the U. S. Census 
Bureau, using the Exporter Database. The Exporter Profiles are developed to 
provide both government and private sector users with information about the 
exporting community including employment size, type of company, and major
foreign markets.   

","
The data, provided in A Profile of U.S. Exporting Companies (Exporter 
Profile), are compiled by the Foreign Trade Division of the U. S. Census 
Bureau, using the Exporter Database.  The Exporter Database uses trade data, 
acquired through the Foreign Trade net files, and Business Register data, 
gathered by the Economic Planning and Coordination Division.  The net files 
used for the Exporter Database contain export trade transaction that are filed 
by the trade companies.  The Business Register data provides company 
information such as company type, location, and number of employees.

The International Trade Administration (ITA) is a partial sponsor of ?A Profile 
of U.S. Exporting Companies?, providing both financial assistance and advice on 
data user needs.  The ITA also sponsors more detailed tables, which are 
available on their Web after the Exporter Profile is released.  Users will be 
notified on the ITA Web site (www.ita.doc.gov) when this information is 
available.

Effective with the 1997/1998 report, companies are classified according to the 
North American Industry Classification System (NAICS) instead of the Standard 
Industrial Classification (SIC) system. There are differences in the ways NAICS 
and SIC classify certain types of companies.  For example, manufacturers of 
prepackaged software and books are classified as manufacturers under SIC and 
as ?Other? types of companies under NAICS.  Users are advised to consider these 
differences when making year-over-year comparisons of exporters and exporter 
characteristics before and after 1997.  The Exporter Database, based on new 
data for one year and revised data for the prior year, uses the same 
methodology as previous years.

",,y,188,188
Enterprise Summary Report - ES9100 (large company),Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Quinquenially (every five years),Calendar Year,Establishment,Bureau of the Census,n,,"6,200-11,000 observations, depending on year",Combination (industries),,http://www.census.gov/prod/3/97pubs/es-9201.pdf,"The ES9100 Enterprise Summary Report form is sent to companies with 500 employees or more as part of the qinqueniall economic census. These data are often referred to as the large company statistics.   Information includes number of establishments, number of employees, annual payroll, sales and receipts, and such financial characteristics as capital assets, capital expentidutres, inventories, and expenditures on advertising and research and development. 
The ESR was not funded in 1997.",,,y,26,26
Auxiliary Establishment - ES9200,Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Quinquenially (every five years),Calendar Year,Establishment,Bureau of the Census,y,"U.S.C., Title 13","Approximately 39,500-47,250 records, depending on year.",Combination (industries),,http://www.census.gov/prod/3/97pubs/es-9201.pdf,"The Auxiliary Establishment Survey (AUX) covers auxiliary establishments of multi-establishment firms.  The primary function of auxiliary establishments is to manage, administer, service, or support the activities of the other establishments of the company.  Under SIC (1977-1997), these establishments were classified and published by the “using industry”.  For example, a research and development facility for an automobile manufacturer would be classified in that industry.  Starting in 2002, that same establishment would be classified as an R&D establishment although the using industry is still identified in the economic census.  Flags identifying auxiliary establishments are used to construct longitudinally consistent files from 2002 onwards.",,,y,27,27
Commodity Flow Survey,Census Bureau Survey - sponsorship,Bureau of the Census,Business,Irregular,Calendar Year,Establishment,Bureau of the Census,y,,"5-10 million, depending on year",Combination (industries),,http://www.census.gov/prod/2/trans/93comflo,"The Commodity Flows Survey (CFS) captures sample data on shipments originating from selected types of business establishments located in the 50 states and the District of Columbia.   Information requested includes the following information about their establishment\'s shipments: domestic destination or port of exit, commodity, value, weight, mode(s) of transportation, the date on which the shipment was made, and an indication of whether the shipment was an export, hazardous material, or containerized.  For shipments that include more than one commodity, respondents are instructed to report the commodity that makes up the greatest percentage of the shipment\'s weight.  For exports, the respondent is asked to provide the mode of export and the foreign destination city and country. For hazardous materials shipments, the corresponding UN/NA code is collected. 
  ","The industries covered by the CFS has expanded over time.  The 1977 CFS covered only the manufacturing sector.  The 1997 CFS covers business establishments in mining, manufacturing, wholesale trade, and selected retail industries. The survey also covers selected auxiliary establishments (e.g., warehouses) of in-scope multiunit and retail companies.  The survey coverage excludes establishments classified as farms, forestry, fisheries, governments, construction, transportation, foreign establishments, services, and most establishments in retail.
The 1983 CFS did not meet Census Bureau quality standards; no publication was released.  The 1987 CFS was not funded.",,y,28,28
Quarterly Financial Report,Census Bureau Survey - sponsorship,Bureau of the Census,Business,Quarterly,Calendar Year,Enterprise (firm),Bureau of the Census,y,"Title 13, U.S.C., Title 26 U.S.C.",,Combination (industries),,http://www.census.gov/csd/qfr,"The data presented provides up-to-date aggregate statistics on the financial position of U.S. corporations.  Based upon a sample survey, the QFR presents estimated statements of income and retained earnings, balance sheets, and related financial and operating ratios for manufacturing corporations with assets of $250,000 and over; and mining, wholesale trade and retail trade corporations with assets of $50 million and over.  

The Internal Revenue Service restricts use of the QFR to economic census years only when they are to be linked to internal Title 13 data such as economic censuses or surveys.",,"1997 to 2008 data only for first quarter available.  Non economic census years of QFR cannot be matched to Title 13, Chapter 5 data by order of the internal Revenue Service.",y,29,29
Survey of Pollution Abatement Costs and Expenditures,Census Bureau Survey - sponsorship,Bureau of the Census,Business,Annually,Calendar Year,Establishment,Bureau of the Census,n,"U.S.C., Title 13, Sections 131 and 182.","Approximately 16,500 to 21,000 establishments, depending on year.  The sample was drawn from a frame of over 200,000 establishments identified from the Economic Census.",Combination (industries),"The 1999 survey includes plants classified in manufacturing, mining and electric utility industries as defined by the 1997 North American Industry Classification System (NAICS). For manufacturing, the survey covers NAICS subsectors 311-339, for mining NAI",http://www.census.gov/econ/overview/mu1100.html,"Data collected includes capital expenditures and operating costs by type of media and the percent that is attributed to hazardous materials. Types of pollutants include air, water and solid waste. The survey also collects data on disposal and recycling expenditures and costs, pollution prevention, site cleanup, habitat protection, environmental monitoring and testing, administrative environmental programs, permits, fees, penalties and fines. PAC was conducted annually from 1973 through 1994 with the exception of 1987. The survey was discontinued after the 1994 survey year due to budget limitations. The survey was re-instated in 1999 as a one year pilot. 
",,"Definitions have periodically changed, thus comparisons across years must be done with care.  No data from 1983 are available.",y,32,32
Standard Statistical Establishment Listing - Name & Address File,Federal Government Agency,Bureau of the Census,Business,Annually,Calendar Year,Establishment,Bureau of the Census,y,"U.S.C., Title 13, Sections 131 and 182",,Combination (industries),,,"Name and address file from the Business Register, to be used for matching purposes only.",,1974 file for single units only.,y,33,33
American Housing Survey,Federal Government Agency,Bureau of the Census,Households,Irregular,Calendar Year,Housing Unit,Bureau of the Census,n,"U.S.C., Title 12, Sections 1701 1(z)-1, 2(g), and 10a; and Title 13.","The American Housing Survey Metropolitan Survey (AHSMS) is conducted in 41 metropolitan areas on a rotating basis. Thirteen metropolitan areas are included, with a sample size of approximately 4,800 addresses in each AHSMS area.",Other (industries),,http://www.huduser.org/datasets/ahs.html,"The American Housing Survey (AHS) is the largest, regular national housing sample survey in the United States. The U.S. Census Bureau conducts the AHS to obtain up-to-date housing statistics for the Department of Housing and Urban Development (HUD). The AHS contains data on apartments, single-family homes, mobile homes, vacant homes, family composition, income, housing and neighborhood quality, housing costs, equipment, fuels, size of housing unit, and recent movers.","<h4>General Description</h4>

<p>The American Housing Survey (AHS) is the largest, regular national housing sample survey in the United States. The U.S. Census Bureau conducts the AHS to obtain up-to-date housing statistics for the Department of Housing and Urban Development (HUD). The AHS contains data on apartments, single-family homes, mobile homes, vacant homes, family composition, income, housing and neighborhood quality, housing costs, equipment, fuels, size of housing unit, and recent movers.</p>

<h4>Sample Density and Coverage</h4>

<p>National data are collected every other year, from a fixed sample of about 50,000 homes, plus new construction each year. The survey started in 1973, and has had the same sample since 1985, allowing users to see homes and households changing over the years. In some metropolitan areas the AHS has additional samples every 4-6 years, to measure local conditions.</p>

<p>The AHS conducts a national survey and a metropolitan area survey. Both surveys are conducted during a 3− to 7−month period. The national survey, which gathers information on housing throughout the country, interviews at about 55,000 housing units every 2 years, in odd−numbered years. The metropolitan area survey consists of 47 metropolitan areas, where householders are interviewed every 6 years. The AHS gathers data for about 14 metropolitan areas on an even numbered year until all 47 metropolitan areas are surveyed. The cycle begins again 6 years later. Every 4 years, six of the largest metropolitan areas are included with the national sample. Since 1984, each metropolitan area is represented by a sample of at least 3,200 designated housing units. The units are divided between the central city and the rest of the metropolitan area.</p>

<p>A sample of housing units in all survey areas was selected from the decennial census. These are updated by a sample of addresses obtained from building permits (for new construction) to include housing units added since the sample was selected. The homes in the national survey are located in each of the 50 States and the District of Columbia. The survey goes back to the same housing units on a regular basis, recording changes in characteristics, adding and deleting units when applicable. This cross−sectioning of the housing inventory gives a picture of houses and households as they change over long periods of time.</p>",No survey was administered in 2006 and 2008.  2007 data will be posted by early 2011.  The AHS is now administered every other odd numbered year.,n,61,61
Foreign Trade Data - Export,Multiple or Other,Bureau of the Census,Multiple,Monthly,Calendar Month,Other (any unit),Bureau of the Census,n,"The legal authority for the collection and publication of U.S. foreign commerce and trade statistics is established by Title 13, Chapter 9; and Title 18, Section 1905 of the United States Code (USC), and by regulatory mandate in Title 15 Code of Federal R",Approximately 24 million depending on year.,Other (industries),,http://www.census.gov/foreign-trade/guide/sec2.html,"<pre>
Information on U.S. exports of merchandise from the U.S. to all countries, 
except Canada, is compiled from copies of Shipper's Export Declarations (SEDs) 
and SED data from qualified exporters, forwarders, or carriers. Copies of SED's 
are required to be filed with Customs officials at the port of export. The SED 
is unique among Census Bureau forms since it is not sent to respondents 
soliciting responses as in the case of surveys. The U.S. Customs and Border 
Protection initially collects the SED at the port of export and subsequently 
transmits it to the Census Bureau. Each SED represents a shipment of one or 
more kinds of merchandise from one exporter to one foreign importer on a single 
carrier. Filing the SED is mandatory under Chapter 9, Title 13, United States 
Code. Qualified exporters, forwarders, or carriers submit SED data by automated 
means directly to the U.S. Census Bureau.
</pre>

","<pre>
Information on U.S. exports of merchandise from the U.S. to all countries, 
except Canada, is compiled from copies of Shipper's Export Declarations (SEDs) 
and SED data from qualified exporters, forwarders, or carriers. Copies of SED's 
are required to be filed with Customs officials at the port of export. The SED 
is unique among Census Bureau forms since it is not sent to respondents 
soliciting responses as in the case of surveys. The U.S. Customs and Border 
Protection initially collects the SED at the port of export and subsequently 
transmits it to the Census Bureau. Each SED represents a shipment of one or 
more kinds of merchandise from one exporter to one foreign importer on a single 
carrier. Filing the SED is mandatory under Chapter 9, Title 13, United States 
Code. Qualified exporters, forwarders, or carriers submit SED data by automated 
means directly to the U.S. Census Bureau.

The United States is substituting Canadian import statistics for U.S. exports 
to Canada in accordance with a 1987 Memorandum of Understanding signed by the 
Census Bureau, U.S. Customs and Border Protection, Canadian Customs, and 
Statistics Canada. Similarly, under this Memorandum of Understanding, Canada is 
substituting U.S. import statistics for Canadian exports to the United States. 
This data exchange includes only U.S. exports destined for Canada and does not 
include shipments destined for third countries by routes passing through Canada 
or shipments of certain grains and oilseeds to Canada for storage prior to 
exportation to a third country. These shipments are reported on and compiled 
from SED's.

Department of Defense Military Assistance Program Grant-Aid shipments being 
transported as Department of Defense cargo are reported directly to the U.S. 
Census Bureau by the Department of Defense.

Exports measure the total physical movement of merchandise out of the United 
States to foreign countries whether such merchandise is exported from within 
the U.S. Customs territory or from a U.S. Customs bonded warehouse or a U.S. 
Foreign Trade Zone. The following are examples of some types of shipments that 
are included in the statistics but are of such a nature that their inclusion 
merits separate mention:

�	Department of Defense Military Assistance Program Grant-Aid shipments 
under the Foreign Assistance Act

�	Foreign military sales.

�	Shipments of commodities for economic assistance under the Foreign 
Assistance Act. (Totals for exports under this program are published quarterly 
or as they become available.)

�	Shipments of agricultural commodities under P.L. 480 (Agricultural 
Trade Development and Assistance Act of 1954) as amended, and related laws. 
(Totals for exports under this program are published as the data become 
available from the Department of Agriculture. Additional information may be 
obtained from the Economic Research Service of the Department of Agriculture.) 

�	Sales of U.S. vessels to purchasers in foreign countries. 

�	Satellites launched by U.S. space vehicles limited to: (1) foreign 
origin, and/or; (2) launched on behalf of international organizations.

Domestic Exports
Exports of domestic merchandise include commodities which are grown, produced 
or manufactured in the United States, and commodities of foreign origin which 
have been changed in the United States, including U.S. Foreign Trade Zones, 
from the form in which they were imported, or which have been enhanced in value 
by further manufacture in the United States.


Foreign Exports (Re-exports)
Exports of foreign merchandise (re-exports), consist of commodities of foreign 
origin which have entered the United States for consumption or into Customs 
bonded warehouses or U.S. Foreign Trade Zones, and which, at the time of 
exportation, are in substantially the same condition as when imported.

</pre>",,n,189,189
Foreign Trade Data - Import,Multiple or Other,Bureau of the Census,Multiple,Monthly,Calendar Month,Other (any unit),Bureau of the Census,n,,Approximately 47 million depending on year.,Other (industries),,http://www.census.gov/foreign-trade/guide/sec2.html,"<pre>
Published information on U.S. imports of merchandise is compiled primarily from 
automated data submitted through the U.S. Customs' Automated Commercial System. 
Data are compiled also from import entry summary forms, warehouse withdrawal 
forms and Foreign Trade Zone documents as required by law to be filed with the 
U.S. Customs and Border Protection. Data on imports of electricity and natural 
gas from Canada are obtained from Canadian sources.
</pre>


","<pre>
Published information on U.S. imports of merchandise is compiled primarily from 
automated data submitted through the U.S. Customs' Automated Commercial System. 
Data are compiled also from import entry summary forms, warehouse withdrawal 
forms and Foreign Trade Zone documents as required by law to be filed with the 
U.S. Customs and Border Protection. Data on imports of electricity and natural 
gas from Canada are obtained from Canadian sources.


Imports of merchandise include commodities of foreign origin as well as goods 
of domestic origin returned to the United States with no change in condition or 
after having been processed and/or assembled in other countries. 
(See discussion of American Goods Returned After Processing And/Or Assembly below).

For statistical purposes, imports are classified by the type of transaction:

�	Merchandise entered for immediate consumption. (""duty free"" 
merchandise and merchandise on which duty is paid on arrival).  

�	Merchandise withdrawn for consumption from Customs bonded warehouses, 
and U.S. Foreign Trade Zones. 

�	Merchandise entered into Customs bonded warehouses and U.S. Foreign 
Trade Zones from foreign countries.

Bonded Warehouses
Bonded warehouses are authorized by U.S. Customs for storage or manufacturing 
of goods on which payment of duties is deferred until the goods are removed 
into Customs Territory. These goods are not subject to duties if reshipped to 
foreign points.


Foreign Trade Zones
Foreign Trade Zones are enclosed areas, operated as public utilities, under 
control of U.S. Customs with facilities for handling, storing, manipulating, 
manufacturing, and exhibiting goods. The merchandise may be exported, 
destroyed, or sent into Customs territory from the zone, in the original 
package or otherwise. It is subject to Customs duties if sent into Customs 
territory, but not if reshipped to foreign points.

American Goods Returned After Processing and/or Assembly
Domestically produced goods are shipped from the United States to other 
countries for processing and/or assembly and then returned to this country. 
Imports containing U.S. content which qualify for special duty-free treatment 
on the U.S. portion fall into the following groups:

�	Articles of metal manufactured in the United States, which were 
exported for further processing abroad and returned to the United States for 
more processing. 


�	Textile articles assembled abroad and entered under a Special Access 
Program or Special Regime. 

�	Articles assembled abroad from components produced in the United 
States, except textile articles entered under a Special Access Program or 
Special Regime.

Separate statistics are available on American goods returned after processing 
and/or assembly abroad.

General Imports
""General Imports"" measure the total physical arrivals of merchandise from 
foreign countries, whether such merchandise enters consumption channels 
immediately or is entered into bonded warehouses or Foreign Trade Zones under 
Customs custody.



Imports for Consumption
""Imports for Consumption"" measure the total of merchandise that has physically 
cleared through Customs either entering consumption channels immediately or 
entering after withdrawal for consumption from bonded warehouses under Customs 
custody or from Foreign Trade Zones. Many countries use the term ""special 
imports"" to designate statistics compiled on this basis.


</pre>",,n,190,190
National Center for Health Statistics Data Extract,Federal Government Agency,Bureau of the Census,Households,Other,Other,Other (any unit),National Center for Health Statistics,n,Section 308(d) of the Public Health Service Act (42 U.S.C. 242m(d)),,Other (industries),,http://www.cdc.gov/rdc/,"These data are available only to projects approved by NCHS for use in the Census Research Data Centers.  For further information, contact NCHS.","In order to advance knowledge on the health and well-being of the nation and its health care system, NCHS and other organizational entities in the Department of Health and Human Services release statistical micro data containing health and related variables. These files allow outside researchers and analysts to conduct independent analyses and research. The goal of NCHS is to maximize data release through public use files. Public use files provide the greatest access to NCHS data for the largest number of users. However, any release of data, whether micro data files or the results of statistical analyses, must be consistent with the confidentiality provisions under which the data were collected. In the case of data collected or obtained by NCHS, Section 308(d) of the Public Health Service Act (42 U.S.C. 242m(d)) and the NCHS Staff Manual on Confidentiality do not permit the release of data that are either identified or identifiable to persons outside of NCHS. In order to preserve privacy and confidentiality, details that might identify or facilitate the identification of persons and organizations participating in surveys and data systems are suppressed in published data products. Examples of data elements that might be abridged are geographic identifiers, details of sample design, and variables such as age or income that might exist in other databases.
Despite the wide dissemination of data through publications, CD-ROMs, web release and other mechanisms, the inability to release files with, for instance, lower levels of geography, severely limits the utility of some data for research, policy, and programmatic purposes and sets a boundary on one of the goals of the U.S. Department of Health and Human Services, i.e., to increase our capacity to provide state and local area estimates. In pursuit of this goal and in response to the research community's interest in accessing data that cannot be released using public use products because these data could be used to determine the identity of an individual or establishment (these data are referred to as confidential or restricted), NCHS established the Research Data Center (RDC). The RDC provides a mechanism whereby researchers can access detailed data files in a secure environment, without jeopardizing the confidentiality of respondents. Under clearly defined conditions, the RDC provides restricted access to NCHS data. The protected environment of the RDC is an efficient way for the project directors to effectively meet the needs of their data users.",These data are only available to projects approved by NCHS.,n,191,191
National Longitudinal Mortality Study,Census Bureau Survey - sponsorship,Bureau of the Census,Households,Other,Other,Individual Person,Bureau of the Census,y,Title 13,637162,Other (industries),N/A,http://www.census.gov/nlms,"
The National Longitudinal Mortality Study (NLMS) consists of a database developed for the purpose of studying the effects of demographic and socio-
economic characteristics on differentials in U.S. mortality rates. The NLMS is 
a unique research database in that it is based on a random sample of the non-
institutionalized population of the United States. It consists of U.S. Census 
Bureau data from Current Population Surveys, Annual Social and Economic 
Supplements and the 1980 Census combined with death certificate information to 
identify mortality status and cause of death. The full NLMS currently consists 
of approximately 2.3 million records with over 250,000 identified mortality 
cases. In the version of the extract file available to RDC researchers, there 
are 637,162 records with 42,919 cases of mortality. This extract file is 
similar to the public-use NLMS, but with geographic detail available. These 
records are taken from the Economic Supplements to the Current Population 
Survey for the period 1979 to 1981.  The content of the socio-economic 
variables available offers researchers the potential to answer questions on 
mortality differentials for a variety of important socio-economic and 
demographic subgroups not covered as extensively in other databases. The full 
NLMS project and associated public-use file have generated over 50 publications 
in various prominent scholarly, scientific and public health related journals.


","Description of Full NLMS Project:

The National Longitudinal Mortality Study (NLMS) consists of a database 
developed for the purpose of studying the effects of demographic and socio-
economic characteristics on differentials in U.S. mortality rates. The NLMS is 
a unique research database in that it is based on a random sample of the non-
institutionalized population of the United States.  It consists of U.S. Census 
Bureau data from Current Population Surveys, Annual Social and Economic 
Supplements and the 1980 Census combined with death certificate information to 
identify mortality status and cause of death. The study currently consists of 
approximately 2.3 million records with over 250,000 identified mortality 
cases.  The content of the socio-economic variables available offers 
researchers the potential to answer questions on mortality differentials for a 
variety of important socio-economic and demographic subgroups not covered as 
extensively in other databases. This project has generated over 50 publications 
in various prominent scholarly, scientific and public health related journals



Project Objective:


To provide an analytical research database for the purpose of studying the 
effect of socio-economic differentials on mortality.  Specific objectives of 
this project are:


1.	To provide answers to specific public health questions which are not 
available from other sources. 

2.	To publish research findings in scholarly, scientific and health 
related journals. 

3.	To release a public-use file.  This file will be released only after 
extensive review to ensure that the confidentiality of respondents has been 
protected.  The release of the public-use file must be approved by the Census 
Bureau�s Disclosure Review Board and organizations contributing data to the 
file. 


Confidentiality of NLMS data: 

The assurance of confidentiality of Census Bureau data is provided by Title 13 
of the United States Code (U.S.C.). As such, NLMS operational procedures 
carefully follow well-defined practices designed to maintain the 
confidentiality of personal records as required by Title 13. These practices 
include the prevention of disclosure through the elimination of sparse cells in 
publications, the prohibited release of small-area geographical information on 
the NLMS public-use file, the use of an individually assigned NLMS control 
number to identify records instead of the use of personal identifiers for these 
purposes, and the restriction of persons having direct access to the NLMS 
database. A violation of Title 13 includes assessment of severe penalties 
including a prison term of up to 5 years and/or fines of up to $250,000, for 
any individual found guilty of releasing confidential information. In addition, 
any data acquired for NLMS purposes from an external agency is acquired under 
strict confidentiality protections and agreements that govern its use and 
subsequent release.


Sponsoring Organizations: 
The National Heart, Lung, and Blood Institute (NHLBI), 
The National Cancer Institute (NCI), 
The National Institute on Aging (NIA), and 
The National Center for Health Statistics (NCHS). 
The U.S. Census Bureau (CB) is a non-funding sponsor of the NLMS.
</pre>
","1.	The NLMS is based on specific survey months of the Current Population Survey, the Annual Social and Economic Supplement, and a subset of the 1980 Census. These are one-time data collection processes with no subsequent data collection.  Therefore, one limitation of NLMS data is that they provide a one-time only baseline measurement of subjects in a long-term follow-up situation. Another limitation of these data is that, although the CPS and census instruments do provide extensive data collection capabilities in specific subject matter areas, desirable general or specific health information is not collected, and smoking status is available on only a limited number of records.

2.	The version of the NLMS available to qualified RDC researchers contains mortality follow-ups for 1979-1989 and does not contain the NDI follow-ups through 1998 that are available in the public-use file.  However, the public-use file does not contain the detailed geographic information available on the RDC file. 

",n,192,192
Survey of Business Owners,Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Quinquenially (every five years),Calendar Year,Individual Person,Bureau of the Census,y,"Title 13, USC.","117,000-128,000 observations depending on year",Combination (industries),,http://www.census.gov/csd/sbo/,"The Survey of Business Owners and Self-Employed Persons (SBO) provides statistics that describe the composition of U.S. businesses by gender, race, and ethnicity. Additional statistics include owner`s age, education level, veteran status, and primary function in the business; family- and home-based businesses; types of customers and workers; and sources of financing for expansion, capital improvements, or start-up. Economic policymakers in federal, state, and local governments use the SBO data to understand conditions of business success and failure by comparing census-to-census changes in business performances. ",,,y,96,96
Census of Retail Trade,Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Quinquenially (every five years),Calendar Year,Establishment,Bureau of the Census,y,Title 13 U.S.C.,"1.4-1.7 million establishments, depending on year",Retail Trade,"NAICS: Sector 54,55 SIC: Div. G Sectors 52-59.",http://www.census.gov/econ/www/retmenu.html,"<p>The Census of Retail Trade (CRT) comprises establishments engaged in retailing merchandise, generally without transformation, and rendering services incidental to the sale of merchandise. </p>

<p>Firms in the Economic Census are divided into those sent report forms and those not sent report forms. Establishments sent a report form include large employers, i.e., all multi-establishment firms, and all single-establishment employer firms with payroll above a specified cutoff, as well as a sample of small employers, i.e., single-establishment firms with payroll below a specified cutoff in industries for which specialized data precludes reliance solely on administrative records sources. The sample is stratified by industry and geography.</p>

<p>Small employers, i.e., single-establishment firms with payroll below a specified cutoff, are not selected into the small employer sample. Although the payroll cutoff varies by kind of business, small employers not sent a report form generally include firms with less than 10 employees and represent about 10 percent of total revenue of establishments covered in the census.  Data on revenue, payroll, and employment for these small employers were derived or estimated from administrative records of other federal agencies. Some of these firms were sent a shorter version of a report form to obtain industry classification information only.</p>
","<h4>PURPOSE</h4>

To provide periodic and comprehensive statistics about retail establishments and activities. The United States Code, Title 13, requires this census and provides for mandatory responses.

<h4>COVERAGE</h4>

Domestic establishments with payroll that retail merchandise, generally without transformation, and related services. These are all establishments classified in North American Industry Classification System (NAICS) Sector 44-45, Retail Trade. In 1997, over 1.1 million employer establishments accounted for retail sales of nearly $2.5 trillion.

<h4>CONTENT</h4>

Basic data obtained for all establishments include kind of business, geographic location, dollar volume of sales, annual and first quarter payroll, and employment for the pay period including March 12. Establishments receiving a census form provide additional data on sales by merchandise line and industry-specific measures, such as number of prescriptions sold by drug stores.

<h4>FREQUENCY</h4>

Every 5 years since 1972, for years ending in ""2"" and ""7."" From 1929 through 1967, retail trade statistics were published periodically as part of the census of business. Data collection begins in December of the census year and responses are due back in about 8 weeks. Data are requested for activities taking place during the census calendar year.

<h4>METHODS</h4>

A mail-out/mail-back data collection for establishments of multi-unit companies, large single-unit employers, and a sample of small employers; and administrative records data for non-selected small employers and all nonemployers. All establishments of multi-unit firms and single-unit employers with annualized payroll above a size cutoff receive a census form. A sample of small employers also receives a census form. This sample is selected using a stratified sampling procedure with strata based on industry and geography. Basic data for non-selected small employers are obtained from Federal administrative records. Estimates for sales by merchandise line and other industry-specific data are based partly on small employer sample results.


<h4>SCOPE </h4>

The Retail Trade sector (sector 44-45) comprises establishments engaged in retailing merchandise, generally without transformation, and rendering services incidental to the sale of merchandise. The retailing process is the final step in the distribution of merchandise; retailers are, therefore, organized to sell merchandise in small quantities to the general public. This sector comprises two main types of retailers: store and nonstore retailers. Store retailers operate fixed point-of-sale locations, located and designed to attract a high volume of walk-in customers. In general, retail stores have extensive displays of merchandise and use mass-media advertising to attract customers. They typically sell merchandise to the general public for personal or household consumption, but some also serve business and institutional clients. In addition to retailing merchandise, some types of store retailers are also engaged in the provision of after-sales services, such as repair and installation. As a general rule, establishments engaged in retailing merchandise and providing after-sales services are classified here. Nonstore retailers, like store retailers, are organized to serve the general public, but their retailing methods differ. The establishments of this subsector reach customers and market merchandise with methods such as the broadcasting of   infomercials,   the broadcasting and publishing of direct-response advertising, the publishing of paper and electronic catalogs, door-to-door solicitation, in-home demonstration, selling from portable stalls (street vendors, except food), and distribution through vending machines. Establishments engaged in the direct sale (nonstore) of products, such as home heating oil dealers and home delivery newspaper routes, are classified here. Excluded from this sector are governmental organizations classified in the covered industries except for liquor stores operated by state and local governments. Data for direct sellers with no paid employees and post exchanges, ship stores, and similar establishments operated on military posts by agencies of the Federal Government are not included. The basic tabulations in this report do not include data for establishments which are auxiliary (primary function is providing a service, such as warehouses) to retail establishments within the same organization.
",,y,88,88
Census of Services,Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Quinquenially (every five years),Calendar Year,Establishment,Bureau of the Census,y,Title 13 U.S.C.,1.2 to 2.2 million establishments depending on reference year.,Combination (industries),"NAICS 51, 54-81",http://www.census.gov/prod/www/abs/business.html,"<p>The Census of Service Industries (CSR) is comprised of the following two-digit NAICS sectors: (51) Information, (54) Professional, Scientific, and Technical Services, (55) Management of Companies and Enterprises, (56) Administrative and Support and Waste Management and Remediation Services, (61) Educational Services, (62) Health Care and Social Assistance, (71) Arts, Entertainment, and Recreation, (72) Accommodation and Food Services, and (81) Other Services (except Public Administration)</p>

<p>Firms in the Economic Census are divided into those sent report forms and those not sent report forms. Establishments sent a report form include large employers, i.e., all multi-establishment firms, and all single-establishment employer firms with payroll above a specified cutoff, as well as a sample of small employers, i.e., single-establishment firms with payroll below a specified cutoff in industries for which specialized data precludes reliance solely on administrative records sources. The sample is stratified by industry and geography.</p>

<p>Small employers, i.e., single-establishment firms with payroll below a specified cutoff, are not selected into the small employer sample. Although the payroll cutoff varies by kind of business, small employers not sent a report form generally include firms with less than 10 employees and represent about 10 percent of total revenue of establishments covered in the census.  Data on revenue, payroll, and employment for these small employers were derived or estimated from administrative records of other federal agencies. Some of these firms were sent a shorter version of a report form to obtain industry classification information only.</p>
",,,y,89,89
